481,345
487,339
492,344
499,351
497,354
496,360
489,355
491,357
488,351
488,351
482,354
480,350
482,355
485,359
489,364
485,358
485,355
492,350
486,355
493,361
497,361
497,365
497,362
500,363
498,365
498,360
497,354
498,352
501,349
495,347
492,344
489,346
488,343
481,343
487,336
494,331
488,334
481,337
476,336
477,336
470,332
466,334
463,338
461,339
457,339
464,338
463,338
465,342
462,337
463,344
465,349
470,345
470,342
467,344
463,350
462,353
459,352
466,356
471,355
472,361
479,364
478,367
479,361
484,364
479,371
480,364
478,367
482,365
485,361
484,366
487,370
491,375
497,374
501,370
499,373
492,376
493,378
497,378
498,374
498,380
499,378
494,371
491,378
489,375
485,370
482,373
475,380
471,382
457,382
451,376
454,369
454,368
450,372
444,371
450,377
443,373
441,378
440,379
444,373
444,376
454,382
458,381
451,374
444,372
440,365
438,366
440,363
447,368
452,361
450,357
447,356
443,363
446,367
440,372
434,366
429,370
433,370
439,367
440,364
438,359
432,366
426,372
419,379
402,380
402,380
408,381
403,374
409,372
409,379
411,376
408,380
406,375
410,376
406,369
403,370
404,370
397,363
394,358
398,356
393,355
388,351
381,346
375,348
370,355
369,351
362,350
369,347
363,341
369,345
364,348
369,349
366,342
363,342
362,337
369,343
373,343
371,336
373,335
380,342
385,341
391,341
386,348
383,342
389,345
384,350
389,348
384,345
390,352
388,351
387,354
384,360
383,361
376,368
372,364
373,368
